                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3917,                  4.549,                 1.7335,                0.00122,                    0.1,                  0.002,                0.00093,                 1.6503,                 5.7175,                 1.7782,                 0.0982,                 0.0002,                 0.0002
                      2,                 1.7991,                 4.6082,                 1.8572,                0.00087,                    0.2,                0.00201,                0.00096,                 1.6571,                 5.3886,                 1.7813,               0.095498,             0.00049752,             0.00049752
                      3,                 1.4655,                 3.9254,                 1.6105,                  0.002,                    0.6,                0.00436,                0.00259,                 1.3627,                  4.437,                 1.5832,               0.092792,             0.00079208,             0.00079208
                      4,                 1.1502,                 3.0402,                  1.407,                 0.3493,                    0.3,                0.32577,                0.27601,                0.91108,                 3.0481,                  1.297,               0.090084,              0.0010837,              0.0010837
                      5,                0.86977,                 2.1493,                 1.2493,                0.34882,                    0.8,                0.44658,                0.38328,                0.68049,                 3.0211,                 1.0825,               0.087372,              0.0013723,              0.0013723
                      6,                0.90749,                 1.7316,                  1.237,                 0.5295,                 0.6767,                0.53337,                0.46537,                0.66921,                 2.0598,                 1.0575,               0.084658,              0.0016579,              0.0016579
                      7,                0.98064,                 1.9625,                 1.2695,                0.44365,                    0.5,                0.45178,                 0.4167,                 0.5964,                 1.8687,                 1.0073,               0.081941,              0.0019406,              0.0019406
                      8,                0.57252,                 1.1825,                  1.034,                0.42222,                    0.7,                0.43098,                0.37637,                0.61264,                 2.7502,                0.99717,                0.07922,              0.0022203,              0.0022203
                      9,                0.80958,                 1.3627,                 1.2057,                0.29999,                    0.8,                0.29847,                0.26344,                0.62219,                 1.7339,                0.99447,               0.076497,               0.002497,               0.002497
                     10,                0.72526,                 1.4024,                 1.1097,                0.33016,                    0.9,                0.37076,                0.33341,                0.55834,                  4.016,                0.97489,               0.073771,              0.0027708,              0.0027708
                     11,                0.59851,                0.93128,                 1.0314,                0.35412,                0.82317,                 0.4175,                0.37997,                0.54311,                  1.734,                0.95406,               0.071042,              0.0030416,              0.0030416
                     12,                0.42675,                0.74324,                0.96618,                0.36731,                    0.9,                0.43926,                  0.398,                 0.5412,                 1.9876,                0.94843,               0.068309,              0.0033094,              0.0033094
                     13,                0.43458,                 1.1739,                0.97071,                0.40925,                    0.8,                0.45213,                  0.404,                0.60305,                 1.9288,                0.94349,               0.065574,              0.0035743,              0.0035743
                     14,                0.50647,                0.70388,                 1.0139,                0.40926,                    0.8,                0.48222,                0.42071,                0.59384,                  1.228,                0.94585,               0.062836,              0.0038362,              0.0038362
                     15,                0.48628,                 0.6744,                0.98449,                0.44439,                0.64153,                 0.5853,                0.50979,                0.57831,                 1.6383,                0.95606,               0.060095,              0.0040951,              0.0040951
                     16,                0.46932,                0.78864,                 0.9474,                0.46748,                    0.9,                0.54588,                0.46715,                0.63098,                 2.1097,                0.97124,               0.057351,               0.004351,               0.004351
                     17,                0.50038,                0.65388,                0.97396,                0.60017,                    0.8,                0.62561,                0.53459,                0.63621,                 1.1199,                0.98475,               0.054604,               0.004604,               0.004604
                     18,                0.53184,                0.58492,                 1.0625,                0.49636,                    0.7,                0.48717,                0.40399,                0.63972,                 1.7338,                0.99903,               0.051854,               0.004854,               0.004854
                     19,                0.65412,                0.67634,                 1.1023,                0.38957,                    0.9,                0.60937,                0.52306,                0.63053,                 4.3096,                0.98886,               0.049101,               0.005101,               0.005101
                     20,                0.44614,                  1.064,                0.94804,                0.39011,                    0.9,                0.64933,                0.56393,                0.63321,                 4.3636,                0.99043,               0.046345,              0.0053451,              0.0053451
                     21,                0.51394,                 1.0271,                0.91554,                0.54423,                 0.5973,                0.52317,                0.42029,                0.67115,                 1.8994,                 1.0198,               0.043586,              0.0055862,              0.0055862
                     22,                0.54919,                0.86559,                0.98295,                0.47066,                    0.8,                0.64131,                0.57037,                0.58786,                 2.9994,                0.94743,               0.040824,              0.0058243,              0.0058243
                     23,                0.52123,                0.63726,                  1.026,                0.59455,                    0.8,                0.70221,                 0.6175,                0.54272,                 1.1975,                 0.9419,               0.038059,              0.0060595,              0.0060595
                     24,                0.50819,                0.78021,                0.88926,                0.46214,                    0.9,                0.70295,                0.64038,                0.53655,                 1.3854,                0.93816,               0.035292,              0.0062917,              0.0062917
