                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3917,                  4.549,                 1.7335,                0.00122,                    0.1,                  0.002,                0.00093,                 1.6503,                 5.7175,                 1.7782,                0.09802,                  2e-05,                  2e-05
                      2,                 1.7991,                 4.6082,                 1.8572,                0.00267,                    0.8,                0.02177,                0.01193,                 1.2288,                 3.5881,                  1.496,                0.09505,             4.9752e-05,             4.9752e-05
                      3,                0.84657,                 2.5614,                 1.1859,                0.38108,                    0.8,                0.49533,                0.32695,                 1.0579,                 7.0929,                 1.2716,               0.092079,             7.9208e-05,             7.9208e-05
                      4,                0.72107,                 2.1751,                 1.0903,                0.35238,                    0.6,                0.42828,                0.31574,                 1.0086,                 4.8684,                 1.2019,               0.089108,             0.00010837,             0.00010837
                      5,                0.82172,                 2.0221,                 1.1005,                0.02809,                    0.5,                 0.0761,                0.06341,                0.95366,                 3.9626,                 1.1844,               0.086137,             0.00013723,             0.00013723
                      6,                0.77053,                 1.3825,                 1.0969,                0.14715,                    0.1,                0.04333,                 0.0375,                 1.1776,                 4.2587,                 1.3616,               0.083166,             0.00016579,             0.00016579
                      7,                 0.9543,                 1.6495,                 1.3039,                0.00938,                    0.3,                0.02425,                0.01504,                 1.3716,                  4.389,                 1.4909,               0.080194,             0.00019406,             0.00019406
                      8,                0.81351,                 1.4333,                 1.1155,                 0.0854,                    0.2,                0.06545,                0.05233,                 1.4583,                 4.3119,                 1.4992,               0.077222,             0.00022203,             0.00022203
                      9,                 1.0636,                 1.4664,                 1.3024,                0.00388,                    0.2,                0.00708,                0.00565,                 1.7355,                 4.7656,                 1.5627,                0.07425,              0.0002497,              0.0002497
                     10,                0.78866,                0.91689,                 1.0363,                0.00306,                    0.3,                0.00475,                0.00355,                 1.6011,                 5.0403,                 1.4944,               0.071277,             0.00027708,             0.00027708
                     11,                 0.7781,                0.98489,                 1.1262,                      1,                0.18946,                0.20114,                 0.1693,                 1.5169,                 3.6461,                  1.455,               0.068304,             0.00030416,             0.00030416
                     12,                 0.7239,                0.85995,                 1.0424,                0.72954,                0.27545,                0.35598,                0.30418,                 1.2891,                  2.767,                 1.2628,               0.065331,             0.00033094,             0.00033094
                     13,                0.60177,                 0.8662,                 1.0073,                0.14447,                    0.3,                0.14332,                0.10951,                  1.298,                 3.1131,                 1.2507,               0.062357,             0.00035743,             0.00035743
                     14,                0.82139,                 1.0214,                 1.1465,                 0.4265,                    0.2,                0.17105,                0.12172,                 1.4313,                 3.0717,                 1.3462,               0.059384,             0.00038362,             0.00038362
